,날짜,종가,전일비,시가,고가,저가,거래량
1,2021.06.17,10500.0,50.0,10600.0,10600.0,10400.0,32480.0
2,2021.06.16,10550.0,100.0,10650.0,10650.0,10450.0,109337.0
3,2021.06.15,10650.0,150.0,10700.0,10850.0,10600.0,100609.0
4,2021.06.14,10800.0,0.0,11050.0,11050.0,10600.0,180068.0
5,2021.06.11,10800.0,350.0,10550.0,11000.0,10350.0,488187.0
9,2021.06.10,10450.0,200.0,10250.0,10500.0,10250.0,97786.0
10,2021.06.09,10250.0,0.0,10250.0,10500.0,10200.0,92615.0
11,2021.06.08,10250.0,50.0,10300.0,10400.0,10200.0,90547.0
12,2021.06.07,10200.0,50.0,10250.0,10350.0,10150.0,54005.0
13,2021.06.04,10250.0,0.0,10350.0,10350.0,10050.0,53780.0
16,2021.06.03,10250.0,50.0,10200.0,10350.0,10100.0,71698.0
17,2021.06.02,10200.0,0.0,10300.0,10350.0,10100.0,88922.0
18,2021.06.01,10200.0,270.0,9930.0,10350.0,9930.0,269232.0
19,2021.05.31,9930.0,250.0,9680.0,9930.0,9590.0,93937.0
20,2021.05.28,9680.0,10.0,9680.0,9690.0,9610.0,28268.0
24,2021.05.27,9670.0,140.0,9570.0,9670.0,9490.0,38323.0
25,2021.05.26,9530.0,40.0,9550.0,9680.0,9470.0,30830.0
26,2021.05.25,9490.0,80.0,9320.0,9520.0,9310.0,33392.0
27,2021.05.24,9410.0,180.0,9540.0,9590.0,9360.0,63112.0
28,2021.05.21,9590.0,70.0,9710.0,9850.0,9550.0,48260.0
31,2021.05.20,9660.0,260.0,9880.0,9950.0,9630.0,65338.0
32,2021.05.18,9920.0,290.0,9680.0,9930.0,9680.0,50891.0
33,2021.05.17,9630.0,360.0,9990.0,10050.0,9630.0,102553.0
34,2021.05.14,9990.0,10.0,10100.0,10200.0,9970.0,54458.0
35,2021.05.13,10000.0,100.0,10000.0,10300.0,9980.0,88248.0
39,2021.05.12,10100.0,200.0,10450.0,10500.0,10000.0,106965.0
40,2021.05.11,10300.0,0.0,10250.0,10500.0,10050.0,122766.0
41,2021.05.10,10300.0,0.0,10350.0,10400.0,10150.0,79169.0
42,2021.05.07,10300.0,50.0,10350.0,10400.0,10150.0,85876.0
43,2021.05.06,10350.0,250.0,10100.0,10400.0,10050.0,140944.0
46,2021.05.04,10100.0,50.0,10200.0,10250.0,9960.0,109438.0
47,2021.05.03,10150.0,260.0,9900.0,10550.0,9900.0,230718.0
48,2021.04.30,9890.0,110.0,9890.0,10050.0,9750.0,72484.0
49,2021.04.29,9780.0,370.0,10300.0,10300.0,9770.0,244934.0
50,2021.04.28,10150.0,200.0,10500.0,11100.0,10100.0,917243.0
54,2021.04.27,10350.0,50.0,10500.0,10600.0,10300.0,243667.0
55,2021.04.26,10400.0,450.0,10200.0,10600.0,9920.0,680700.0
56,2021.04.23,9950.0,60.0,9890.0,10200.0,9880.0,160746.0
57,2021.04.22,9890.0,410.0,10100.0,10300.0,9840.0,384112.0
58,2021.04.21,10300.0,800.0,9500.0,10500.0,9370.0,1009832.0
61,2021.04.20,9500.0,20.0,9440.0,9530.0,9410.0,28872.0
62,2021.04.19,9480.0,20.0,9360.0,9520.0,9360.0,31357.0
63,2021.04.16,9500.0,50.0,9510.0,9520.0,9370.0,59100.0
64,2021.04.15,9550.0,160.0,9710.0,9710.0,9510.0,54161.0
65,2021.04.14,9710.0,130.0,9580.0,9750.0,9490.0,72562.0
69,2021.04.13,9580.0,40.0,9540.0,9580.0,9400.0,68764.0
70,2021.04.12,9540.0,40.0,9500.0,9670.0,9370.0,56732.0
71,2021.04.09,9500.0,160.0,9340.0,9500.0,9290.0,40993.0
72,2021.04.08,9340.0,90.0,9650.0,9650.0,9250.0,63953.0
73,2021.04.07,9430.0,420.0,9010.0,9630.0,9010.0,164289.0
76,2021.04.06,9010.0,150.0,9160.0,9160.0,8950.0,34560.0
77,2021.04.05,9160.0,40.0,9200.0,9200.0,9110.0,22895.0
78,2021.04.02,9120.0,30.0,9090.0,9120.0,9010.0,21322.0
79,2021.04.01,9090.0,100.0,9190.0,9250.0,9030.0,25576.0
80,2021.03.31,9190.0,30.0,9180.0,9260.0,9040.0,46664.0
84,2021.03.30,9160.0,190.0,8980.0,9180.0,8980.0,43755.0
85,2021.03.29,8970.0,170.0,8810.0,9110.0,8810.0,82337.0
86,2021.03.26,8800.0,40.0,8840.0,8900.0,8770.0,39189.0
87,2021.03.25,8760.0,140.0,8620.0,8850.0,8600.0,44251.0
88,2021.03.24,8620.0,50.0,8670.0,8670.0,8510.0,24204.0
91,2021.03.23,8670.0,170.0,8840.0,8870.0,8670.0,33392.0
92,2021.03.22,8840.0,70.0,8700.0,8870.0,8600.0,51868.0
93,2021.03.19,8770.0,90.0,8850.0,8880.0,8590.0,23070.0
94,2021.03.18,8860.0,40.0,8900.0,8990.0,8820.0,26943.0
95,2021.03.17,8900.0,80.0,8980.0,9000.0,8900.0,18410.0
99,2021.03.16,8980.0,130.0,8820.0,9000.0,8820.0,32232.0
100,2021.03.15,8850.0,40.0,8890.0,8940.0,8690.0,15105.0
101,2021.03.12,8890.0,120.0,8770.0,8940.0,8680.0,27215.0
102,2021.03.11,8770.0,210.0,8560.0,8790.0,8560.0,44582.0
103,2021.03.10,8560.0,20.0,8580.0,8740.0,8500.0,19510.0
106,2021.03.09,8580.0,100.0,8750.0,8750.0,8490.0,27281.0
107,2021.03.08,8680.0,150.0,8880.0,9000.0,8680.0,32601.0
108,2021.03.05,8830.0,30.0,8860.0,8950.0,8730.0,27300.0
109,2021.03.04,8860.0,30.0,8810.0,8890.0,8800.0,17352.0
110,2021.03.03,8890.0,90.0,8750.0,8890.0,8530.0,24183.0
114,2021.03.02,8800.0,40.0,8840.0,8950.0,8750.0,25289.0
115,2021.02.26,8840.0,140.0,8920.0,8980.0,8710.0,50354.0
116,2021.02.25,8980.0,130.0,8970.0,9070.0,8900.0,26061.0
117,2021.02.24,8850.0,380.0,9230.0,9250.0,8840.0,65210.0
118,2021.02.23,9230.0,180.0,9380.0,9500.0,8900.0,204478.0
121,2021.02.22,9410.0,40.0,9410.0,9480.0,9360.0,34153.0
122,2021.02.19,9450.0,110.0,9560.0,9560.0,9310.0,51121.0
123,2021.02.18,9560.0,20.0,9530.0,9800.0,9450.0,63628.0
124,2021.02.17,9540.0,80.0,9620.0,9630.0,9490.0,36881.0
125,2021.02.16,9620.0,10.0,9680.0,9710.0,9510.0,41856.0
129,2021.02.15,9630.0,130.0,9600.0,9690.0,9540.0,57544.0
130,2021.02.10,9500.0,70.0,9510.0,9570.0,9420.0,34894.0
131,2021.02.09,9570.0,80.0,9570.0,9650.0,9520.0,28528.0
132,2021.02.08,9650.0,60.0,9750.0,9750.0,9570.0,27488.0
133,2021.02.05,9710.0,90.0,9810.0,9830.0,9680.0,35011.0
136,2021.02.04,9800.0,20.0,9900.0,9900.0,9670.0,30972.0
137,2021.02.03,9820.0,150.0,9690.0,9900.0,9690.0,58031.0
138,2021.02.02,9670.0,110.0,9600.0,9860.0,9510.0,63218.0
139,2021.02.01,9560.0,90.0,9460.0,9570.0,9160.0,74566.0
140,2021.01.29,9470.0,500.0,9970.0,10000.0,9370.0,162027.0
144,2021.01.28,9970.0,230.0,10000.0,10100.0,9850.0,133292.0
145,2021.01.27,10200.0,50.0,10200.0,10250.0,10000.0,114279.0
146,2021.01.26,10250.0,200.0,10450.0,10500.0,10150.0,103888.0
147,2021.01.25,10450.0,0.0,10500.0,10500.0,10200.0,108770.0
148,2021.01.22,10450.0,150.0,10600.0,10750.0,10250.0,175432.0
151,2021.01.21,10600.0,50.0,10650.0,10750.0,10500.0,148748.0
152,2021.01.20,10650.0,100.0,10650.0,10700.0,10450.0,154868.0
153,2021.01.19,10550.0,200.0,10400.0,10600.0,10250.0,152323.0
154,2021.01.18,10350.0,150.0,10450.0,10750.0,10250.0,341011.0
155,2021.01.15,10200.0,50.0,10350.0,10400.0,10100.0,131990.0
159,2021.01.14,10250.0,250.0,10450.0,10500.0,10200.0,183333.0
160,2021.01.13,10500.0,300.0,10800.0,10800.0,10450.0,193787.0
161,2021.01.12,10800.0,0.0,10500.0,10900.0,10400.0,262102.0
162,2021.01.11,10800.0,450.0,10600.0,11550.0,10350.0,1378961.0
163,2021.01.08,10350.0,300.0,10050.0,10650.0,10050.0,464964.0
166,2021.01.07,10050.0,0.0,10100.0,10150.0,9950.0,119812.0
167,2021.01.06,10050.0,250.0,10350.0,10350.0,10000.0,221389.0
